,,Logistic Regression,Gaussian NB,Decision Tree,Random Forest,XGBoost,SVM
Class 1(size = 14),AUC,0.5555555555555556,0.2555555555555556,0.5333333333333333,0.7777777777777777,0.6222222222222222,0.8555555555555555
Class 1(size = 14),Accuracy,0.42857142857142855,0.21428571428571427,0.5714285714285714,0.6428571428571429,0.5714285714285714,0.6428571428571429
Class 1(size = 14),F1-Score,0.42857142857142855,0.15384615384615383,0.6666666666666666,0.6153846153846153,0.5714285714285714,0.782608695652174
Class 1(size = 14),Precision,0.6,0.25,0.6666666666666666,1.0,0.8,0.6428571428571429
Class 1(size = 14),Recall,0.3333333333333333,0.1111111111111111,0.6666666666666666,0.4444444444444444,0.4444444444444444,1.0
Class 2(size = 8),AUC,0.625,0.125,0.5,0.375,0.75,0.75
Class 2(size = 8),Accuracy,0.625,0.125,0.5,0.375,0.625,0.5
Class 2(size = 8),F1-Score,0.4,0.0,0.3333333333333333,0.4444444444444445,0.6666666666666665,0.6666666666666666
Class 2(size = 8),Precision,1.0,0.0,0.5,0.4,0.6,0.5
Class 2(size = 8),Recall,0.25,0.0,0.25,0.5,0.75,1.0
Class 3(size = 26),AUC,0.5595238095238095,0.22023809523809518,0.49404761904761907,0.7053571428571428,0.7499999999999999,0.8184523809523809
Class 3(size = 26),Accuracy,0.5,0.23076923076923078,0.5,0.6538461538461539,0.7692307692307693,0.4230769230769231
Class 3(size = 26),F1-Score,0.5517241379310345,0.0909090909090909,0.43478260869565216,0.6086956521739131,0.7272727272727272,0.5945945945945945
Class 3(size = 26),Precision,0.47058823529411764,0.1,0.45454545454545453,0.6363636363636364,0.8,0.44
Class 3(size = 26),Recall,0.6666666666666666,0.08333333333333333,0.4166666666666667,0.5833333333333334,0.6666666666666666,0.9166666666666666
Class 4(size = 22),AUC,0.6068376068376068,0.28205128205128205,0.4871794871794872,0.7948717948717949,0.6752136752136753,0.8247863247863249
Class 4(size = 22),Accuracy,0.5909090909090909,0.2727272727272727,0.45454545454545453,0.7272727272727273,0.5909090909090909,0.5909090909090909
Class 4(size = 22),F1-Score,0.608695652173913,0.27272727272727276,0.4,0.7272727272727274,0.608695652173913,0.7428571428571429
Class 4(size = 22),Precision,0.7,0.3333333333333333,0.5714285714285714,0.8888888888888888,0.7,0.5909090909090909
Class 4(size = 22),Recall,0.5384615384615384,0.23076923076923078,0.3076923076923077,0.6153846153846154,0.5384615384615384,1.0
Class 5(size = 8),AUC,0.3333333333333333,0.09999999999999998,0.5,0.2666666666666666,0.2666666666666666,0.9333333333333333
Class 5(size = 8),Accuracy,0.5,0.125,0.375,0.375,0.375,0.375
Class 5(size = 8),F1-Score,0.5,0.0,0.5454545454545454,0.4444444444444444,0.4444444444444444,0.5454545454545454
Class 5(size = 8),Precision,0.4,0.0,0.375,0.3333333333333333,0.3333333333333333,0.375
Class 5(size = 8),Recall,0.6666666666666666,0.0,1.0,0.6666666666666666,0.6666666666666666,1.0
Class 6(size = 15),AUC,0.8863636363636364,0.43181818181818177,0.8295454545454545,0.9318181818181818,1.0,0.7386363636363636
Class 6(size = 15),Accuracy,0.6666666666666666,0.4,0.8666666666666667,0.9333333333333333,0.8,0.26666666666666666
Class 6(size = 15),F1-Score,0.6153846153846153,0.30769230769230765,0.75,0.888888888888889,0.7272727272727273,0.4210526315789474
Class 6(size = 15),Precision,0.4444444444444444,0.2222222222222222,0.75,0.8,0.5714285714285714,0.26666666666666666
Class 6(size = 15),Recall,1.0,0.5,0.75,1.0,1.0,1.0
Class 7(size = 103),AUC,0.8241509433962264,0.4226415094339622,0.5818867924528301,0.9033962264150944,0.8305660377358491,0.3135849056603774
Class 7(size = 103),Accuracy,0.7475728155339806,0.4174757281553398,0.5825242718446602,0.8155339805825242,0.7864077669902912,0.5242718446601942
Class 7(size = 103),F1-Score,0.7346938775510203,0.30232558139534876,0.5981308411214954,0.811881188118812,0.7962962962962964,0.6838709677419356
Class 7(size = 103),Precision,0.8,0.3939393939393939,0.5925925925925926,0.8541666666666666,0.7818181818181819,0.5196078431372549
Class 7(size = 103),Recall,0.6792452830188679,0.24528301886792453,0.6037735849056604,0.7735849056603774,0.8113207547169812,1.0
