,,Logistic Regression,Gaussian NB,Decision Tree,Random Forest,XGBoost,SVM
Class 1(size = 14),AUC,0.3333333333333333,0.15555555555555553,0.5333333333333333,0.7333333333333333,0.6444444444444444,0.8888888888888888
Class 1(size = 14),Accuracy,0.42857142857142855,0.14285714285714285,0.5714285714285714,0.6428571428571429,0.6428571428571429,0.21428571428571427
Class 1(size = 14),F1-Score,0.42857142857142855,0.14285714285714285,0.6666666666666666,0.6153846153846153,0.6666666666666667,0.35294117647058826
Class 1(size = 14),Precision,0.6,0.2,0.6666666666666666,1.0,0.8333333333333334,0.375
Class 1(size = 14),Recall,0.3333333333333333,0.1111111111111111,0.6666666666666666,0.4444444444444444,0.5555555555555556,0.3333333333333333
Class 2(size = 8),AUC,0.625,0.125,0.5,0.375,0.625,0.875
Class 2(size = 8),Accuracy,0.625,0.125,0.5,0.375,0.75,0.25
Class 2(size = 8),F1-Score,0.5714285714285715,0.0,0.3333333333333333,0.28571428571428575,0.75,0.4
Class 2(size = 8),Precision,0.6666666666666666,0.0,0.5,0.3333333333333333,0.75,0.3333333333333333
Class 2(size = 8),Recall,0.5,0.0,0.25,0.25,0.75,0.5
Class 3(size = 26),AUC,0.44047619047619047,0.1845238095238095,0.5357142857142857,0.7470238095238095,0.8035714285714285,0.9077380952380952
Class 3(size = 26),Accuracy,0.4230769230769231,0.19230769230769232,0.5384615384615384,0.8076923076923077,0.7307692307692307,0.23076923076923078
Class 3(size = 26),F1-Score,0.34782608695652173,0.08695652173913043,0.5,0.7826086956521738,0.7199999999999999,0.37499999999999994
Class 3(size = 26),Precision,0.36363636363636365,0.09090909090909091,0.5,0.8181818181818182,0.6923076923076923,0.3
Class 3(size = 26),Recall,0.3333333333333333,0.08333333333333333,0.5,0.75,0.75,0.5
Class 4(size = 22),AUC,0.3846153846153846,0.19230769230769232,0.4700854700854701,0.7307692307692308,0.4700854700854702,0.9145299145299146
Class 4(size = 22),Accuracy,0.45454545454545453,0.22727272727272727,0.45454545454545453,0.6818181818181818,0.4090909090909091,0.36363636363636365
Class 4(size = 22),F1-Score,0.4545454545454546,0.3703703703703704,0.4545454545454546,0.6666666666666667,0.48000000000000004,0.5333333333333333
Class 4(size = 22),Precision,0.5555555555555556,0.35714285714285715,0.5555555555555556,0.875,0.5,0.47058823529411764
Class 4(size = 22),Recall,0.38461538461538464,0.38461538461538464,0.38461538461538464,0.5384615384615384,0.46153846153846156,0.6153846153846154
Class 5(size = 8),AUC,0.06666666666666665,0.0,0.6,0.4,0.6,1.0
Class 5(size = 8),Accuracy,0.125,0.0,0.5,0.375,0.625,0.125
Class 5(size = 8),F1-Score,0.0,0.0,0.6,0.28571428571428575,0.6666666666666666,0.2222222222222222
Class 5(size = 8),Precision,0.0,0.0,0.42857142857142855,0.25,0.5,0.16666666666666666
Class 5(size = 8),Recall,0.0,0.0,1.0,0.3333333333333333,1.0,0.3333333333333333
Class 6(size = 15),AUC,0.4318181818181818,0.5454545454545454,0.5681818181818182,0.9545454545454545,1.0,0.9318181818181818
Class 6(size = 15),Accuracy,0.3333333333333333,0.3333333333333333,0.6,0.9333333333333333,1.0,0.26666666666666666
Class 6(size = 15),F1-Score,0.28571428571428575,0.4444444444444445,0.4,0.888888888888889,1.0,0.4210526315789474
Class 6(size = 15),Precision,0.2,0.2857142857142857,0.3333333333333333,0.8,1.0,0.26666666666666666
Class 6(size = 15),Recall,0.5,1.0,0.5,1.0,1.0,1.0
Class 7(size = 103),AUC,0.7720754716981132,0.3792452830188679,0.5713207547169812,0.8716981132075472,0.8407547169811321,0.48584905660377353
Class 7(size = 103),Accuracy,0.6796116504854369,0.3786407766990291,0.5728155339805825,0.7669902912621359,0.7572815533980582,0.5048543689320388
Class 7(size = 103),F1-Score,0.6972477064220183,0.37254901960784315,0.6,0.76,0.7787610619469026,0.6577181208053692
Class 7(size = 103),Precision,0.6785714285714286,0.3877551020408163,0.5789473684210527,0.8085106382978723,0.7333333333333333,0.5104166666666666
Class 7(size = 103),Recall,0.7169811320754716,0.3584905660377358,0.6226415094339622,0.7169811320754716,0.8301886792452831,0.9245283018867925
