,,Logistic Regression,Gaussian NB,Decision Tree,Random Forest,XGBoost,SVM
Class 1(size = 14),AUC,0.35555555555555557,0.15555555555555553,0.5333333333333333,0.6,0.6888888888888889,0.8888888888888888
Class 1(size = 14),Accuracy,0.42857142857142855,0.14285714285714285,0.5714285714285714,0.5714285714285714,0.7142857142857143,0.21428571428571427
Class 1(size = 14),F1-Score,0.42857142857142855,0.14285714285714285,0.6666666666666666,0.5714285714285714,0.7142857142857143,0.35294117647058826
Class 1(size = 14),Precision,0.6,0.2,0.6666666666666666,0.8,1.0,0.375
Class 1(size = 14),Recall,0.3333333333333333,0.1111111111111111,0.6666666666666666,0.4444444444444444,0.5555555555555556,0.3333333333333333
Class 2(size = 8),AUC,0.6875,0.125,0.5,0.75,0.5,0.875
Class 2(size = 8),Accuracy,0.625,0.125,0.5,0.625,0.5,0.25
Class 2(size = 8),F1-Score,0.5714285714285715,0.0,0.3333333333333333,0.5714285714285715,0.5,0.4
Class 2(size = 8),Precision,0.6666666666666666,0.0,0.5,0.6666666666666666,0.5,0.3333333333333333
Class 2(size = 8),Recall,0.5,0.0,0.25,0.5,0.5,0.5
Class 3(size = 26),AUC,0.41071428571428575,0.1845238095238095,0.613095238095238,0.7470238095238095,0.7857142857142856,0.9017857142857142
Class 3(size = 26),Accuracy,0.46153846153846156,0.19230769230769232,0.6153846153846154,0.7692307692307693,0.7307692307692307,0.23076923076923078
Class 3(size = 26),F1-Score,0.4166666666666667,0.08695652173913043,0.5833333333333334,0.75,0.7199999999999999,0.37499999999999994
Class 3(size = 26),Precision,0.4166666666666667,0.09090909090909091,0.5833333333333334,0.75,0.6923076923076923,0.3
Class 3(size = 26),Recall,0.4166666666666667,0.08333333333333333,0.5833333333333334,0.75,0.75,0.5
Class 4(size = 22),AUC,0.38461538461538464,0.19230769230769232,0.4700854700854701,0.7478632478632479,0.7094017094017094,0.9188034188034189
Class 4(size = 22),Accuracy,0.5,0.22727272727272727,0.45454545454545453,0.7272727272727273,0.7272727272727273,0.36363636363636365
Class 4(size = 22),F1-Score,0.5217391304347826,0.3703703703703704,0.4545454545454546,0.7500000000000001,0.7500000000000001,0.5333333333333333
Class 4(size = 22),Precision,0.6,0.35714285714285715,0.5555555555555556,0.8181818181818182,0.8181818181818182,0.47058823529411764
Class 4(size = 22),Recall,0.46153846153846156,0.38461538461538464,0.38461538461538464,0.6923076923076923,0.6923076923076923,0.6153846153846154
Class 5(size = 8),AUC,0.06666666666666665,0.0,0.5,0.2666666666666666,0.3333333333333333,1.0
Class 5(size = 8),Accuracy,0.125,0.0,0.375,0.375,0.5,0.125
Class 5(size = 8),F1-Score,0.0,0.0,0.5454545454545454,0.4444444444444444,0.6,0.2222222222222222
Class 5(size = 8),Precision,0.0,0.0,0.375,0.3333333333333333,0.42857142857142855,0.16666666666666666
Class 5(size = 8),Recall,0.0,0.0,1.0,0.6666666666666666,1.0,0.3333333333333333
Class 6(size = 15),AUC,0.4318181818181818,0.5454545454545454,0.6136363636363635,0.9318181818181818,0.9772727272727273,0.9318181818181818
Class 6(size = 15),Accuracy,0.26666666666666666,0.3333333333333333,0.6666666666666666,0.8666666666666667,0.9333333333333333,0.26666666666666666
Class 6(size = 15),F1-Score,0.26666666666666666,0.4444444444444445,0.4444444444444445,0.8,0.888888888888889,0.4210526315789474
Class 6(size = 15),Precision,0.18181818181818182,0.2857142857142857,0.4,0.6666666666666666,0.8,0.26666666666666666
Class 6(size = 15),Recall,0.5,1.0,0.5,1.0,1.0,1.0
Class 7(size = 103),AUC,0.7607547169811321,0.3792452830188679,0.5513207547169812,0.8815094339622642,0.8418867924528302,0.4888679245283019
Class 7(size = 103),Accuracy,0.6601941747572816,0.3786407766990291,0.5533980582524272,0.8058252427184466,0.7766990291262136,0.5048543689320388
Class 7(size = 103),F1-Score,0.6788990825688073,0.37254901960784315,0.5892857142857142,0.803921568627451,0.7889908256880735,0.6577181208053692
Class 7(size = 103),Precision,0.6607142857142857,0.3877551020408163,0.559322033898305,0.8367346938775511,0.7678571428571429,0.5104166666666666
Class 7(size = 103),Recall,0.6981132075471698,0.3584905660377358,0.6226415094339622,0.7735849056603774,0.8113207547169812,0.9245283018867925
