,,Logistic Regression,Gaussian NB,Decision Tree,Random Forest,XGBoost,SVM
Class 1(size = 14),AUC,0.2666666666666666,0.3555555555555555,0.5333333333333333,0.5333333333333333,0.6888888888888889,0.7888888888888889
Class 1(size = 14),Accuracy,0.42857142857142855,0.2857142857142857,0.5714285714285714,0.42857142857142855,0.7142857142857143,0.6428571428571429
Class 1(size = 14),F1-Score,0.6,0.16666666666666666,0.6666666666666666,0.42857142857142855,0.7142857142857143,0.782608695652174
Class 1(size = 14),Precision,0.5454545454545454,0.3333333333333333,0.6666666666666666,0.6,1.0,0.6428571428571429
Class 1(size = 14),Recall,0.6666666666666666,0.1111111111111111,0.6666666666666666,0.3333333333333333,0.5555555555555556,1.0
Class 2(size = 8),AUC,0.1875,0.25,0.375,0.4375,0.6875,0.875
Class 2(size = 8),Accuracy,0.375,0.25,0.375,0.375,0.625,0.5
Class 2(size = 8),F1-Score,0.5454545454545454,0.25,0.0,0.28571428571428575,0.6666666666666665,0.6666666666666666
Class 2(size = 8),Precision,0.42857142857142855,0.25,0.0,0.3333333333333333,0.6,0.5
Class 2(size = 8),Recall,0.75,0.25,0.0,0.25,0.75,1.0
Class 3(size = 26),AUC,0.21428571428571425,0.29166666666666663,0.5297619047619048,0.7053571428571429,0.7142857142857143,0.7202380952380952
Class 3(size = 26),Accuracy,0.38461538461538464,0.3076923076923077,0.5384615384615384,0.6538461538461539,0.7307692307692307,0.46153846153846156
Class 3(size = 26),F1-Score,0.5555555555555556,0.1,0.45454545454545453,0.64,0.7199999999999999,0.631578947368421
Class 3(size = 26),Precision,0.4166666666666667,0.125,0.5,0.6153846153846154,0.6923076923076923,0.46153846153846156
Class 3(size = 26),Recall,0.8333333333333334,0.08333333333333333,0.4166666666666667,0.6666666666666666,0.75,1.0
Class 4(size = 22),AUC,0.37606837606837606,0.26068376068376065,0.43162393162393164,0.6410256410256411,0.6068376068376069,0.6282051282051282
Class 4(size = 22),Accuracy,0.5454545454545454,0.22727272727272727,0.4090909090909091,0.6818181818181818,0.5454545454545454,0.5909090909090909
Class 4(size = 22),F1-Score,0.7058823529411765,0.10526315789473684,0.380952380952381,0.7199999999999999,0.6153846153846154,0.7428571428571429
Class 4(size = 22),Precision,0.5714285714285714,0.16666666666666666,0.5,0.75,0.6153846153846154,0.5909090909090909
Class 4(size = 22),Recall,0.9230769230769231,0.07692307692307693,0.3076923076923077,0.6923076923076923,0.6153846153846154,1.0
Class 5(size = 8),AUC,0.1333333333333333,0.0,0.5,0.2666666666666666,0.6,0.8666666666666667
Class 5(size = 8),Accuracy,0.25,0.0,0.375,0.25,0.5,0.375
Class 5(size = 8),F1-Score,0.4,0.0,0.5454545454545454,0.25,0.6,0.5454545454545454
Class 5(size = 8),Precision,0.2857142857142857,0.0,0.375,0.2,0.42857142857142855,0.375
Class 5(size = 8),Recall,0.6666666666666666,0.0,1.0,0.3333333333333333,1.0,1.0
Class 6(size = 15),AUC,0.6136363636363636,0.5113636363636364,0.8295454545454545,0.9545454545454545,0.9318181818181819,0.5
Class 6(size = 15),Accuracy,0.26666666666666666,0.4,0.8666666666666667,0.8666666666666667,0.8666666666666667,0.26666666666666666
Class 6(size = 15),F1-Score,0.4210526315789474,0.39999999999999997,0.75,0.8,0.75,0.4210526315789474
Class 6(size = 15),Precision,0.26666666666666666,0.2727272727272727,0.75,0.6666666666666666,0.75,0.26666666666666666
Class 6(size = 15),Recall,1.0,0.75,0.75,1.0,0.75,1.0
Class 7(size = 103),AUC,0.6996226415094339,0.5098113207547169,0.6007547169811321,0.8643396226415093,0.8433962264150944,0.3516981132075472
Class 7(size = 103),Accuracy,0.5922330097087378,0.5048543689320388,0.6019417475728155,0.7961165048543689,0.7766990291262136,0.5145631067961165
Class 7(size = 103),F1-Score,0.7083333333333334,0.41379310344827586,0.6238532110091742,0.7920792079207922,0.7766990291262137,0.6794871794871795
Class 7(size = 103),Precision,0.5604395604395604,0.5294117647058824,0.6071428571428571,0.8333333333333334,0.8,0.5145631067961165
Class 7(size = 103),Recall,0.9622641509433962,0.33962264150943394,0.6415094339622641,0.7547169811320755,0.7547169811320755,1.0
