,,LSTM,GRU,Bidirectional_LSTM,Combined_CNN_LSTM
Class 1(size = 14),AUC,0.4444444444444444,0.5333333333333333,0.7777777777777778,0.5555555555555556
Class 1(size = 14),Accuracy,0.5714285714285714,0.5714285714285714,0.6428571428571429,0.35714285714285715
Class 1(size = 14),F1-Score,0.5,0.7272727272727274,0.761904761904762,0.4
Class 1(size = 14),Precision,1.0,0.6153846153846154,0.6666666666666666,0.5
Class 1(size = 14),Recall,0.3333333333333333,0.8888888888888888,0.8888888888888888,0.3333333333333333
Class 2(size = 8),AUC,0.625,0.75,0.375,0.625
Class 2(size = 8),Accuracy,0.625,0.5,0.5,0.5
Class 2(size = 8),F1-Score,0.4,0.6666666666666666,0.6,0.5
Class 2(size = 8),Precision,1.0,0.5,0.5,0.5
Class 2(size = 8),Recall,0.25,1.0,0.75,0.5
Class 3(size = 26),AUC,0.5595238095238095,0.6071428571428572,0.32142857142857145,0.5654761904761905
Class 3(size = 26),Accuracy,0.6153846153846154,0.46153846153846156,0.46153846153846156,0.5
Class 3(size = 26),F1-Score,0.6428571428571429,0.5625000000000001,0.5882352941176471,0.5517241379310345
Class 3(size = 26),Precision,0.5625,0.45,0.45454545454545453,0.47058823529411764
Class 3(size = 26),Recall,0.75,0.75,0.8333333333333334,0.6666666666666666
Class 4(size = 22),AUC,0.5384615384615384,0.7264957264957266,0.4786324786324786,0.5897435897435898
Class 4(size = 22),Accuracy,0.5454545454545454,0.5909090909090909,0.5454545454545454,0.5454545454545454
Class 4(size = 22),F1-Score,0.5833333333333334,0.7428571428571429,0.6875,0.6666666666666667
Class 4(size = 22),Precision,0.6363636363636364,0.5909090909090909,0.5789473684210527,0.5882352941176471
Class 4(size = 22),Recall,0.5384615384615384,1.0,0.8461538461538461,0.7692307692307693
Class 5(size = 8),AUC,0.33333333333333326,0.7333333333333333,0.1333333333333333,0.39999999999999997
Class 5(size = 8),Accuracy,0.375,0.375,0.25,0.375
Class 5(size = 8),F1-Score,0.28571428571428575,0.5454545454545454,0.4,0.4444444444444444
Class 5(size = 8),Precision,0.25,0.375,0.2857142857142857,0.3333333333333333
Class 5(size = 8),Recall,0.3333333333333333,1.0,0.6666666666666666,0.6666666666666666
Class 6(size = 15),AUC,0.7727272727272727,0.6363636363636364,0.6818181818181818,0.75
Class 6(size = 15),Accuracy,0.6,0.26666666666666666,0.26666666666666666,0.5333333333333333
Class 6(size = 15),F1-Score,0.5714285714285715,0.4210526315789474,0.4210526315789474,0.5333333333333333
Class 6(size = 15),Precision,0.4,0.26666666666666666,0.26666666666666666,0.36363636363636365
Class 6(size = 15),Recall,1.0,1.0,1.0,1.0
Class 7(size = 103),AUC,0.7686792452830189,0.6758490566037736,0.6060377358490566,0.7203773584905662
Class 7(size = 103),Accuracy,0.7378640776699029,0.5922330097087378,0.5436893203883495,0.6990291262135923
Class 7(size = 103),F1-Score,0.7522935779816513,0.6181818181818182,0.6758620689655174,0.7207207207207208
Class 7(size = 103),Precision,0.7321428571428571,0.5964912280701754,0.532608695652174,0.6896551724137931
Class 7(size = 103),Recall,0.7735849056603774,0.6415094339622641,0.9245283018867925,0.7547169811320755
