,,Neural Network
Class 1(size = 14),AUC,0.6
Class 1(size = 14),Accuracy,0.5
Class 1(size = 14),F1-Score,0.3636363636363636
Class 1(size = 14),Precision,1.0
Class 1(size = 14),Recall,0.2222222222222222
Class 2(size = 8),AUC,0.5625
Class 2(size = 8),Accuracy,0.5
Class 2(size = 8),F1-Score,0.3333333333333333
Class 2(size = 8),Precision,0.5
Class 2(size = 8),Recall,0.25
Class 3(size = 26),AUC,0.5178571428571429
Class 3(size = 26),Accuracy,0.5384615384615384
Class 3(size = 26),F1-Score,0.6
Class 3(size = 26),Precision,0.5
Class 3(size = 26),Recall,0.75
Class 4(size = 22),AUC,0.6068376068376069
Class 4(size = 22),Accuracy,0.5454545454545454
Class 4(size = 22),F1-Score,0.5833333333333334
Class 4(size = 22),Precision,0.6363636363636364
Class 4(size = 22),Recall,0.5384615384615384
Class 5(size = 8),AUC,0.19999999999999996
Class 5(size = 8),Accuracy,0.375
Class 5(size = 8),F1-Score,0.4444444444444444
Class 5(size = 8),Precision,0.3333333333333333
Class 5(size = 8),Recall,0.6666666666666666
Class 6(size = 15),AUC,0.7272727272727273
Class 6(size = 15),Accuracy,0.5333333333333333
Class 6(size = 15),F1-Score,0.46153846153846156
Class 6(size = 15),Precision,0.3333333333333333
Class 6(size = 15),Recall,0.75
Class 7(size = 103),AUC,0.7216981132075472
Class 7(size = 103),Accuracy,0.6310679611650486
Class 7(size = 103),F1-Score,0.5869565217391305
Class 7(size = 103),Precision,0.6923076923076923
Class 7(size = 103),Recall,0.5094339622641509
