,,Gaussian NB
Class 1(size = 14),AUC,0.3555555555555555
Class 1(size = 14),Accuracy,0.2857142857142857
Class 1(size = 14),F1-Score,0.16666666666666666
Class 1(size = 14),Precision,0.3333333333333333
Class 1(size = 14),Recall,0.1111111111111111
Class 2(size = 8),AUC,0.25
Class 2(size = 8),Accuracy,0.25
Class 2(size = 8),F1-Score,0.25
Class 2(size = 8),Precision,0.25
Class 2(size = 8),Recall,0.25
Class 3(size = 26),AUC,0.29166666666666663
Class 3(size = 26),Accuracy,0.3076923076923077
Class 3(size = 26),F1-Score,0.1
Class 3(size = 26),Precision,0.125
Class 3(size = 26),Recall,0.08333333333333333
Class 4(size = 22),AUC,0.26068376068376065
Class 4(size = 22),Accuracy,0.22727272727272727
Class 4(size = 22),F1-Score,0.10526315789473684
Class 4(size = 22),Precision,0.16666666666666666
Class 4(size = 22),Recall,0.07692307692307693
Class 5(size = 8),AUC,0.0
Class 5(size = 8),Accuracy,0.0
Class 5(size = 8),F1-Score,0.0
Class 5(size = 8),Precision,0.0
Class 5(size = 8),Recall,0.0
Class 6(size = 15),AUC,0.5113636363636364
Class 6(size = 15),Accuracy,0.4
Class 6(size = 15),F1-Score,0.39999999999999997
Class 6(size = 15),Precision,0.2727272727272727
Class 6(size = 15),Recall,0.75
Class 7(size = 103),AUC,0.5098113207547169
Class 7(size = 103),Accuracy,0.5048543689320388
Class 7(size = 103),F1-Score,0.41379310344827586
Class 7(size = 103),Precision,0.5294117647058824
Class 7(size = 103),Recall,0.33962264150943394
